Index,year,daysabove90,total_precip,avgco2
0,1918,8.0,621.0,302.4
1,1919,9.0,709.0,302.7
2,1920,7.0,635.0,303.0
3,1921,24.0,590.0,303.4
4,1922,18.0,613.0,303.8
5,1923,16.0,547.0,304.1
6,1924,4.0,635.0,304.5
7,1925,17.0,622.0,305.0
8,1926,12.0,615.0,305.4
9,1927,8.0,629.0,305.8
10,1928,7.0,670.0,306.3
11,1929,16.0,535.0,306.8
12,1930,22.0,589.0,307.2
13,1931,31.0,591.0,307.7
14,1932,16.0,571.0,308.2
15,1933,28.0,549.0,308.6
16,1934,28.0,541.0,309.0
17,1935,18.0,665.0,309.4
18,1936,31.0,497.0,309.8
19,1937,21.0,663.0,310.0
20,1938,12.0,727.0,310.2
21,1939,19.0,545.0,310.3
22,1940,13.0,676.0,310.4
23,1941,16.0,750.0,310.4
24,1942,5.0,743.0,310.3
25,1943,11.0,716.0,310.2
26,1944,6.0,772.0,310.1
27,1945,8.0,719.0,310.1
28,1946,6.0,736.0,310.1
29,1947,19.0,640.0,310.2
30,1948,17.0,593.0,310.3
31,1949,18.0,670.0,310.5
32,1950,6.0,642.0,310.7
33,1951,3.0,800.0,311.1
34,1952,10.0,581.0,311.5
35,1953,10.0,789.0,311.9
36,1954,7.0,617.0,312.4
37,1955,20.0,618.0,313.0
38,1956,8.0,602.0,313.6
39,1957,8.0,743.0,314.2
40,1958,9.0,510.0,314.9
41,1959,18.0,705.0,315.6
42,1960,10.0,628.0,316.3
43,1961,13.0,598.0,317.0
44,1962,3.0,718.0,317.7
45,1963,8.0,608.0,318.4
46,1964,18.0,699.0,319.2
47,1965,5.0,842.0,320.0
48,1966,12.0,635.0,320.8
49,1967,4.0,546.0,321.8
50,1968,8.0,846.0,322.8
51,1969,9.0,648.0,323.8
52,1970,17.0,703.0,324.8
53,1971,8.0,747.0,325.8
54,1972,8.0,713.0,326.9
55,1973,9.0,746.0,328.0
56,1974,13.0,595.0,329.2
57,1975,16.0,726.0,330.3
58,1976,24.0,395.0,331.5
59,1977,9.0,832.0,332.6
60,1978,13.0,678.0,333.7
61,1979,5.0,727.0,336.84
62,1980,18.0,551.0,338.75
63,1981,5.0,746.0,340.1
64,1982,7.0,753.0,341.45
65,1983,22.0,762.0,343.05
66,1984,9.0,752.0,344.45
67,1985,6.0,780.0,346.12
68,1986,6.0,847.0,347.42
69,1987,19.0,577.0,349.19
70,1988,33.0,568.0,351.57
71,1989,12.0,583.0,353.12
72,1990,6.0,692.0,354.39
73,1991,10.0,841.0,355.61
74,1992,2.0,668.0,356.44
75,1993,1.0,836.0,357.1
76,1994,2.0,738.0,358.83
77,1995,11.0,769.0,360.82
78,1996,5.0,716.0,362.61
79,1997,4.0,642.0,363.73
80,1998,6.0,769.0,366.7
81,1999,9.0,789.0,368.38
82,2000,4.0,741.0,369.55
83,2001,14.0,754.0,371.14
84,2002,12.0,716.0,373.28
85,2003,9.0,561.0,375.8
86,2004,2.0,766.0,377.52
87,2005,9.0,798.0,379.8
88,2006,12.0,601.0,381.9
89,2007,11.0,765.0,383.79
90,2008,2.0,697.0,385.6
91,2009,3.0,686.0,387.43
92,2010,7.0,887.0,389.9
93,2011,10.0,632.0,391.65
94,2012,18.0,678.0,393.85
95,2013,10.0,754.0,396.52
96,2014,2.0,729.0,398.65
97,2015,4.0,773.0,400.83
98,2016,6.0,910.0,404.24
99,2017,5.0,727.0,406.55
100,2018,8.0,798.0,408.52
